2453272.49027     -0.09   0.85
2453272.49120     -1.57   0.89
2453272.49202      0.65   0.81
2453272.49285      1.32   0.74
2453272.49369     -1.60   0.87
2453272.49452     -0.80   0.79
2453272.49536      0.40   0.88
2453272.49619      0.85   0.96
2453272.49701     -0.23   0.84
2453272.49783     -1.44   0.89
2453272.49866     -1.40   0.91
2453272.49983     -5.57   1.04
2453272.50075     -0.36   0.75
2453272.50152     -0.57   0.75
2453272.50253     -1.15   0.70
2453272.50330     -0.34   0.76
2453272.50408     -1.30   0.83
2453272.50578     -2.58   0.63
2453272.50657     -1.21   0.58
2453272.50740     -1.55   0.58
2453272.50831     -0.68   0.59
2453272.50916     -0.12   0.57
2453272.50999      0.40   0.61
2453272.51084     -0.79   0.65
2453272.51165     -1.43   0.65
2453272.51249     -0.94   0.62
2453272.51329      0.48   0.67
2453272.51519     -0.96   0.64
2453272.51597     -0.66   0.61
2453272.51676     -1.59   0.60
2453272.51754     -1.25   0.60
2453272.51830     -2.49   0.61
2453272.51908     -0.95   0.58
2453272.51983     -0.43   0.64
2453272.52057     -1.63   0.62
2453272.52130     -0.59   0.64
2453272.52203     -3.72   0.66
2453272.52391     -1.05   0.70
2453272.52471     -1.57   0.66
2453272.52550     -0.93   0.67
2453272.52630     -0.07   0.67
2453272.52711     -1.36   0.65
2453272.52792     -1.95   0.66
2453272.52869     -1.58   0.64
2453272.52947     -1.18   0.71
2453272.53024     -1.39   0.60
2453272.53101     -0.96   0.67
2453272.53286      0.00   0.77
2453272.53360     -2.54   0.80
2453272.53432     -1.16   0.77
2453272.53505     -0.83   0.79
2453272.53917      0.09   1.01
2453272.53987     -0.25   0.91
2453272.54076     -0.48   0.83
2453272.54151     -0.47   0.65
2453272.54228     -0.94   0.69
2453272.54304     -0.24   0.69
2453272.54382      0.26   0.63
2453272.54464     -1.43   0.64
2453272.54546     -0.25   0.66
2453272.54626      0.30   0.62
2453272.54706     -2.44   0.67
2453272.54782     -0.13   0.72
2453272.55005     -0.15   0.80
2453272.55081     -1.10   0.61
2453272.55158     -1.15   0.63
2453272.55236      0.10   0.66
2453272.55314     -0.19   0.63
2453272.55393     -1.02   0.62
2453272.55473     -1.84   0.56
2453272.55552     -2.06   0.71
2453272.55632     -0.74   0.62
2453272.55718     -2.83   0.61
2453272.55823     -1.37   0.56
2453272.55997     -1.39   0.62
2453272.56082     -2.43   0.63
2453272.56168     -0.22   0.64
2453272.56255     -1.36   0.59
2453272.56337     -0.14   0.69
2453272.56418     -3.49   0.70
2453272.56499     -0.85   0.68
2453272.56580     -0.62   0.68
2453272.56662     -1.93   0.61
2453272.56745     -0.03   0.64
2453272.56828     -2.14   0.62
2453272.57020     -2.37   1.13
2453272.57094      0.26   0.77
2453272.57173     -1.13   0.65
2453272.57254     -1.59   0.67
2453272.57334     -1.85   0.67
2453272.57413      0.06   0.73
2453272.57492     -2.69   0.69
2453272.57572     -0.67   0.67
2453272.57652     -1.71   0.69
2453272.57733     -1.24   0.70
2457905.83292      7.65   0.93
2457905.83900      6.92   0.94
2457905.84120      7.45   0.93
2457905.84344      5.56   0.86
2457905.84566      7.99   0.88
2457905.86181      6.97   0.93
2457905.86267      8.50   0.95
2457905.86353      9.13   0.93
2457905.86439      8.53   0.96
2457905.86689      7.93   0.98
2457905.86774      8.08   0.96
2457905.86861      7.65   0.96
2457905.86947      6.17   1.01
2457905.87185      8.67   0.92
2457905.87270      9.02   0.91
2457905.87356      7.78   0.95
2457905.87442      8.69   0.92
2457905.87680      7.64   0.98
2457905.87766      6.51   0.95
2457905.87852      6.94   0.89
2457905.87939      8.87   0.90
2457905.88175      9.46   0.92
2457905.88262      8.36   0.94
2457905.88347      7.95   0.92
2457905.88433      7.99   0.90
2457905.88680      6.58   1.02
2457905.88765      6.43   0.94
2457905.88852      7.75   1.04
2457905.88938      5.49   0.97
2457905.89185      7.10   0.95
2457905.89271     10.20   0.94
2457905.89357      8.43   0.95
2457905.89443      7.00   0.96
2457905.89690      8.72   0.96
2457905.89775      8.33   0.91
2457905.89861      7.88   0.97
2457905.89948      7.74   0.93
2457993.67726      5.97   0.84
2457993.67812      6.95   0.91
2457993.67898      7.09   0.86
2457993.67984      7.72   0.87
2457993.68162      7.57   0.86
2457993.68247      7.71   0.93
2457993.68334      8.27   0.94
2457993.68420      8.63   0.89
2457993.68594      7.33   0.88
2457993.68679      6.02   0.96
2457993.68765      8.74   0.92
2457993.68851      6.31   0.89
2457993.69038      6.71   0.92
2457993.69124      7.19   0.91
2457993.69210      8.14   0.87
2457993.69296      6.28   0.95
2457993.69527      6.47   0.93
2457993.69613      4.92   0.90
2457993.69699      6.77   0.98
2457993.69786      7.28   0.93
2457993.69971      7.86   0.90
2457993.70057      7.29   0.87
2457993.70144      7.69   0.82
2457993.70229      7.28   0.88
2457993.70522      6.38   0.89
2457993.70608      7.32   0.93
2457993.70693      5.77   0.88
2457993.70780      6.36   0.96
2457993.70968      6.60   0.87
2457993.71054      6.81   0.92
2457993.71140      7.27   0.88
2457993.71226      7.82   0.98
